Month,Year,Switzerland,France,Portugal,Soviet Union,Spain,Vichy France,Belgium,Danzig,Czechoslovakia,Reichkommissariat Ostland,Reichskommissariat Ostland,Reichskommissariat Ukraine,Serbian Residual State,Transnistria,Montenegro,Italian Social Republic,Czecho-Slovakia,Ireland,United Kingdom,Germany,General Government,Protectorate of Bohemia and Moravia,Protectorate of Bohemia Moravia,Slovakia,Romania,Yugoslavia,Hungary,Bulgaria,Finland,Albania,Liechtenstein,Vatican,San Marino,Monaco,Andorra,Cyprus,Malta,Iceland,Luxembourg,Poland,Gibraltar,Turkey,Norway,Sweden,Denmark,Italy,Netherlands,Lithuania,Latvia,Estonia,Greece,Croatia,Austria,Carpatho-Ukraine,Austria,Carpatho-Ukraine
Feburary,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
March,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
April,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
May,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
June,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
July,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
August,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
September,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
October,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
November,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
December,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
January,1939,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
Feburary,1939,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
March,1939,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,X,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
April,1939,N,L,N,L,N,X,N,N,O,X,X,X,X,O,O,X,O,N,L,X,O,X,X,X,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
May,1939,N,L,N,L,N,X,N,N,O,X,X,X,X,O,O,X,O,N,L,X,O,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
June,1939,N,L,N,L,N,X,N,N,O,X,X,X,X,O,O,X,O,N,L,X,O,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
July,1939,N,L,N,L,N,X,N,N,O,X,X,X,X,O,O,X,O,N,L,X,O,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
August,1939,N,L,N,L,N,X,N,N,O,X,X,X,X,O,O,X,O,N,L,X,O,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
September,1939,N,L,N,L,N,X,N,L,O,X,X,X,X,O,O,X,O,N,L,X,O,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,L,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
October,1939,N,L,N,L,N,X,N,X,O,X,X,X,X,O,O,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,X,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
November,1939,N,L,N,L,N,X,N,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,X,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
December,1939,N,L,N,L,N,X,N,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,X,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
January,1940,N,L,N,L,N,X,N,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,X,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
Feburary,1940,N,L,N,L,N,X,N,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,X,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
March,1940,N,L,N,L,N,X,N,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,X,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
April,1940,N,L,N,L,N,X,N,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,X,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
May,1940,N,L,N,L,N,X,L,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,L,X,L,N,N,N,X,X,L,N,N,N,N,O,X,N,X,N
June,1940,N,L,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,N,N,N,N,O,X,N,X,N
July,1940,N,X,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,N,N,N,N,O,X,N,X,N
August,1940,N,X,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,N,N,N,N,O,X,N,X,N
September,1940,N,X,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,N,N,N,N,O,X,N,X,N
October,1940,N,X,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,N,N,N,N,O,X,N,X,N
November,1940,N,X,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,L,L,L,N,O,X,N,X,N
December,1940,N,X,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,X,N,X,N,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,L,L,L,N,O,X,X,X,N
January,1941,N,X,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,X,N,X,N,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,L,L,L,N,O,X,X,X,N
